"title","length","budget","rating","mpaa"
"Day Without a Mexican, A",100,1500000,5,"R"
"Day of Defense",102,500000,3,"PG"
"Day of Independence",27,200000,2.8,"Missing"
"Day of the Animals",97,1200000,4.2,"Missing"
"Day of the Dead",97,3500000,6.5,"Missing"
"Day of the Dolphin, The",104,8500000,5.6,"Missing"
"Day of the Fight",16,3900,6.1,"Missing"
"Day the Earth Stood Still, The",85,960000,8.1,"Missing"
"Day the World Ended",79,96000,4.7,"Missing"
"Dayereh",90,10000,7.1,"Missing"
"Daylight",110,80000000,5.4,"PG-13"
"Days of Thunder",107,60000000,5.4,"Missing"
"Dead & Buried",94,3000000,6.1,"Missing"
"Dead Babies",100,1000000,4.3,"R"
"Dead End",93,900000,7.5,"Missing"
"Dead End Road",94,100000,5.8,"Missing"
"Dead Hate the Living!, The",90,150000,4.3,"R"
"Dead Heat",86,5000000,4.8,"Missing"
"Dead Heat on a Merry-Go-Round",104,2000000,6,"Missing"
"Dead Man",120,9000000,7.6,"Missing"
"Dead Man Walking",122,11000000,7.6,"R"
"Dead Man on Campus",96,14000000,5.4,"R"
"Dead Man's Curve",90,1000000,5.7,"R"
"Dead Next Door, The",84,75000,4.8,"Missing"
"Dead Poets Society",128,16400000,7.7,"Missing"
"Dead Presidents",119,15000000,6.3,"R"
"Dead Ringer",115,1200000,6.8,"Missing"
"Dead Soul: A Fairy Tale",30,8000,5,"Missing"
"Dead Zone, The",103,10000000,7.2,"Missing"
"Dead of Night",88,235000,6,"Missing"
"Deadfall",86,13000,5.4,"Missing"
"Deadly Blessing",100,2500000,4.5,"Missing"
"Deadly Harvest",87,250000,5,"Missing"
"Deadly Stingers",73,150000,5.5,"Missing"
"Death 4 Told",96,85000,1.7,"R"
"Death Becomes Her",99,55000000,5.6,"Missing"
"Death Bed: The Bed That Eats",80,30000,6.1,"Missing"
"Death Race 2000",79,300000,5.8,"Missing"
"Death and the Compass",96,3500000,6,"Missing"
"Death of Daniel Whately, The",111,5000,6.6,"Missing"
"Death to Smoochy",109,55000000,6.3,"R"
"Death, Can I Buy You a Drink?",22,50000,8.9,"Missing"
"Deathrow Gameshow",83,200000,3.8,"Missing"
"Debtors, The",90,14000000,6.9,"Missing"
"Decay",80,15000,6.5,"Missing"
"Decision",90,5000,8,"Missing"
"Decline of Western Civilization Part II: The Metal Years, The",93,500000,6.6,"Missing"
"Decline of Western Civilization, The",100,100000,7.3,"Missing"
"Deconstructing Harry",96,20000000,7.1,"R"
"Decoys",95,5000000,4.2,"R"
"Deep Blue",91,5000000,7.2,"Missing"
"Deep Blue Sea",105,78000000,5.5,"R"
"Deep End of the Ocean, The",106,40000000,5.9,"PG-13"
"Deep End, The",101,3000000,6.8,"R"
"Deep Impact",120,75000000,5.9,"PG-13"
"Deep Rising",97,45000000,5.4,"R"
"Deep Throat",67,22000,5.1,"Missing"
"Deep, The",123,9000000,5.8,"Missing"
"Deer Hunter, The",183,15000000,8.1,"Missing"
"Defender, The",90,6000000,6.3,"R"
"Defilers, The",69,11000,4.8,"Missing"
"Defining Reason",5,2000,8.3,"Missing"
"Delayed",103,20000,2.6,"Missing"
"Delicate Delinquent, The",101,460000,5.9,"Missing"
"Delinquents, The",72,65000,4.8,"Missing"
"Deliverance",109,2000000,7.8,"Missing"
"Delivered",93,1000000,5.1,"R"
"Dellamorte Dellamore",105,4000000,7.3,"R"
"Delusion",88,1000000,6,"Missing"
"Dementia 13",75,30000,5.4,"Missing"
"Dementia: An Experiment in Terror",85,300000,8.9,"Missing"
"Demetrius and the Gladiators",101,4500000,6.3,"Missing"
"Demo Crew, The",108,100000,2.5,"Missing"
"Demolitionist, The",100,1000000,4.1,"R"
"Demon Knight",92,12000000,6,"Missing"
"Demoni",88,1800000,5.7,"Missing"
"Demonium",85,2200000,3.7,"Missing"
"Denial",93,5000000,5.3,"Missing"
"Dentist II, The",100,1800000,4.1,"R"
"Derailed",89,18000000,3.4,"R"
"Deranged",78,200000,6.2,"Missing"
"Derniers feux",8,50000,9.7,"Missing"
"Dersu Uzala",141,4000000,8.1,"Missing"
"Desecration",88,150000,4.3,"Missing"
"Desert Hearts",96,350000,6.4,"Missing"
"Deserter, The",75,35000,8,"Missing"
"Desire",95,1200000,7.2,"Missing"
"Desire",95,1000000,4.5,"Missing"
"Desperado",106,7000000,6.8,"R"
"Desperate Characters",87,400000,5.6,"Missing"
"Desperate Hours, The",112,2388000,7.4,"Missing"
"Desperate Living",90,65000,7.1,"Missing"
"Desperately Seeking Susan",104,4500000,5.6,"Missing"
"Destino",7,1500000,7.8,"PG"
"Detail, The",87,200000,3.3,"Missing"
"Detective Fiction",102,200000,4.9,"Missing"
"Detention",98,10000000,4.1,"R"
"Deterrence",101,800000,6.6,"Missing"
"Detour",67,30000,7.3,"Missing"
"Detroit Rock City",95,15000000,6,"R"
"Deuce Bigalow: Male Gigolo",88,18000000,5.6,"R"
"Deuces Wild",100,10000000,5.3,"R"
"Devil Dogs of the Air",85,350000,5.7,"Missing"
"Devil Is a Woman, The",79,800000,7.3,"Missing"
"Devil's Advocate, The",144,57000000,7,"R"
"Devil's Own, The",111,80000000,5.7,"R"
"Devil's Pond",92,5000000,5.6,"R"
"Diabolik",99,400000,4.7,"Missing"
"Dial M for Murder",105,1400000,7.8,"Missing"
"Diamonds Are Forever",120,7200000,6.6,"Missing"
"Diary of a Mad Black Woman",116,5500000,3.9,"PG-13"
"Dick",94,13000000,6.3,"PG-13"
"Dick Tracy",105,47000000,5.7,"Missing"
"Dickie Roberts: Former Child Star",98,17000000,5.5,"PG-13"
"Die Another Day",133,142000000,6.4,"PG-13"
"Die Hard",131,28000000,8,"Missing"
"Die Hard 2",124,70000000,6.7,"Missing"
"Die Hard: With a Vengeance",131,90000000,7,"R"
"Die xue jie tou",126,3500000,7.6,"Missing"
"Different",11,5000,7.5,"Missing"
"Different Loyalty, A",96,13000000,5,"R"
"Digimon: The Movie",82,5000000,3.4,"PG"
"Dilemma",83,2500000,3.9,"Missing"
"Dill Scallion",91,500000,5.1,"PG-13"
"Dillinger",70,193000,6.3,"Missing"
"Dimensia Minds Trilogy: The Reds",8,1200,9.9,"Missing"
"Diner",110,5000000,7.2,"Missing"
"Ding-a-ling-Less",81,1000000,8.1,"Missing"
"Dinner at Eight",113,435000,7.6,"Missing"
"Dinosaur",82,127500000,6.3,"PG"
"Dinosaurus!",85,450000,4,"Missing"
"Diplomat, The",29,77000,9,"Missing"
"Diplomatic Siege",96,45000000,3.5,"R"
"Direct Order",55,500000,5.8,"Missing"
"Dirigible",100,650000,5.9,"Missing"
"Dirty Dancing",100,6000000,5.9,"Missing"
"Dirty Diamonds",10,0,9.1,"Missing"
"Dirty Pretty Things",97,10000000,7.6,"R"
"Dirty Work",82,13000000,5.9,"PG-13"
"Disappearance of Andy Waxman, The",25,30000,8.8,"Missing"
"Disc",105,2000,7.5,"Missing"
"Disciple, The",50,8000,7.6,"Missing"
"Disturbing Behavior",84,15000000,5.1,"R"
"Divine Reality",100,3000,7.1,"Missing"
"Divine Secrets of the Ya-Ya Sisterhood",116,27000000,5.5,"PG-13"
"Divorce: The Musical",86,1500000,3.4,"Missing"
"Divorcee, The",82,340691,6.7,"Missing"
"Do the Right Thing",120,6500000,7.7,"Missing"
"Doctor Dolittle",145,18000000,5.8,"Missing"
"Doctor Dolittle",85,71500000,5.4,"PG-13"
"Doctor Sleep",108,10000000,6.2,"R"
"Doctor Zhivago",200,11000000,7.9,"PG-13"
"Dodgeball: A True Underdog Story",92,20000000,6.6,"PG-13"
"Dog of Flanders, A",100,7000000,6,"PG"
"Dogma",130,10000000,7.3,"R"
"Doki-Doki",34,5000,7.6,"Missing"
"Dom durakov",104,2500000,6.8,"R"
"Domestic Disturbance",91,53000000,5.4,"PG-13"
"Dominion",95,1300000,5,"R"
"Don Giovanni",184,7000000,7.2,"Missing"
"Don Juan DeMarco",97,25000000,6.5,"Missing"
"Don't Call Me Frankie",70,40000,9.1,"Missing"
"Don't Look Back!",89,2300000,1.3,"Missing"
"Don't Say a Word",113,50000000,6.2,"R"
"Donde acaban los caminos",82,500000,8,"Missing"
"Dong er shi er tiao",14,2000,3.7,"Missing"
"Donnie Brasco",127,35000000,7.6,"R"
"Donnie Darko",133,4500000,8.3,"R"
"Donovan's Reef",109,2686585,6.5,"Missing"
"Doomed to Failure",7,1000,7.8,"Missing"
"Door-to-Door Maniac",80,100000,4.3,"Missing"
"Doors, The",140,38000000,6.7,"Missing"
"Doppelganger",104,3000000,4.1,"Missing"
"Dorm That Dripped Blood, The",84,90000,2.5,"Missing"
"Dorothy Vernon of Haddon Hall",135,750000,7.2,"Missing"
"Dos Blokes",4,0,4.3,"Missing"
"Dot.Kill",87,6000000,5,"Missing"
"Double Impact",109,16000000,4.5,"Missing"
"Double Indemnity",110,927262,8.5,"Missing"
"Double Jeopardy",105,40000000,5.9,"R"
"Double Take",91,24000000,4.8,"PG-13"
"Double Tap",87,8000000,5.3,"R"
"Double Whammy",100,4000000,5.6,"R"
"Doug's 1st Movie",77,5000000,4.5,"Missing"
"Down",110,15000000,4.5,"Missing"
"Down Time",90,20000,3.5,"R"
"Down and Out with the Dolls",88,1200000,6,"R"
"Down by Law",107,1100000,7.6,"Missing"
"Down to Earth",87,30000000,5.1,"PG-13"
"Down to You",91,9000000,4.7,"PG-13"
"Downtime",62,16000,5.6,"Missing"
"Dr T and the Women",122,12000000,4.8,"R"
"Dr. Dolittle 2",87,72000000,5.1,"PG"
"Dr. Jekyll and Mr. Hyde",96,1140000,7.6,"Missing"
"Dr. Jekyll and Ms. Hyde",90,8000000,4.2,"PG-13"
"Dr. Monica",53,167000,5.4,"Missing"
"Dr. No",110,1100000,7.2,"Missing"
"Dr. Phibes Rises Again",89,75000,6.3,"Missing"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",93,1800000,8.7,"PG"
"Dracula",128,40000000,7.1,"R"
"Dracula 2000",99,28000000,4.9,"R"
"Drag",40,25000,7.8,"Missing"
"Drag Queen Heist",20,5000,8.6,"Missing"
"Dragnet",88,500000,6.3,"Missing"
"Dragon: The Bruce Lee Story",119,14000000,6.7,"Missing"
"Dragonfly",104,60000000,5.8,"PG-13"
"Dragonslayer",109,18000000,6.4,"Missing"
"Dragonwyck",103,1900000,6.7,"Missing"
"Dragstrip Girl",69,100000,4.7,"Missing"
"Draw the Pirate",7,50000,8.5,"Missing"
"Dream on Silly Dreamer",40,65000,7.7,"Missing"
"Dream with the Fishes",97,1000000,6.5,"Missing"
"Dream-Quest of Unknown Kadath, The",100,5000,7.6,"Missing"
"Dreamaniac",82,60000,4.3,"Missing"
"Dreamcatcher",134,68000000,5.2,"R"
"Dreamer: The Movie",93,23500,9,"Missing"
"Dress, The",30,80000,8.4,"Missing"
"Dressed to Kill",104,6500000,6.9,"Missing"
"Drifting",21,3000,9.9,"Missing"
"Driftwood",20,5000,4.1,"Missing"
"Driller Killer, The",96,20000,4.4,"Missing"
"Drive",117,3500000,6.4,"R"
"Drive Me Crazy",91,8000000,5.1,"PG-13"
"Drive-in Movie Memories",57,225000,8.3,"Missing"
"Driven",116,72000000,4.4,"PG-13"
"Driving Miss Daisy",99,7500000,7.4,"Missing"
"Drop Back Ten",93,600000,4.8,"Missing"
"Drop Squad",86,2000000,3.9,"Missing"
"Drop Zone",101,45000000,5.5,"Missing"
"Drowning",7,0,5,"Missing"
"Drowning Mona",95,16000000,5.4,"PG-13"
"Drugstore Cowboy",100,2500000,7.4,"Missing"
"Drum",94,3600,4,"Missing"
"Drumline",118,20000000,5.3,"PG-13"
"Du Barry Was a Lady",101,1239222,6.1,"Missing"
"Duck, Duck, Goose!",21,20000,8.8,"Missing"
"Dude, Where's My Car?",83,13000000,4.6,"PG-13"
"Dudley Do-Right",77,22000000,3.6,"PG"
"Due occhi diabolici",120,9000000,5.3,"Missing"
"Duel at Apache Wells",69,150000,5.6,"Missing"
"Duel in the Sun",144,8000000,7,"Missing"
"Duellists, The",95,900000,7.4,"Missing"
"Duets",112,15000000,5.8,"R"
"Dumb & Dumber",101,16000000,6.6,"PG-13"
"Dumb and Dumberer: When Harry Met Lloyd",85,19000000,3.3,"PG-13"
"Dumbo",64,950000,7.4,"Missing"
"Dune",190,45000000,6.3,"Missing"
"Dungeons & Dragons",107,35000000,4,"PG-13"
"Duplex",89,40000000,5.7,"PG-13"
"Dusting Cliff 7",95,1300000,3.5,"R"
"Dying Gaul, The",101,4000000,4.3,"Missing"
"DysFunktional Family",89,3000000,5.6,"R"
"E-mail",109,1000000,4.1,"Missing"
"E.T. the Extra-Terrestrial",120,10500000,7.8,"PG"
"Eagle Has Landed, The",131,6000000,6.7,"Missing"
"Earl's Your Uncle",19,10000,9.1,"Missing"
"Earth Girls Are Easy",100,10000000,5,"Missing"
"Earthquake",140,7000000,5.2,"Missing"
"East of Hope Street",88,100000,5.6,"Missing"
"Easter Parade",107,2503654,7.4,"Missing"
"Easy Rider",94,340000,7.2,"Missing"
"Eat My Dust!",89,300000,4.5,"Missing"
"Eating",13,60000,9.1,"Missing"
"Eating Out",90,50000,6.8,"Missing"
"Eating Raoul",87,350000,6.4,"Missing"
"Eban and Charley",86,30000,4.5,"Missing"
"Ed Mort",102,1500000,6.8,"Missing"
"Ed Wood",127,18000000,8,"R"
"Ed and His Dead Mother",86,1800000,5.3,"Missing"
"Eddie",100,30000000,4.9,"PG-13"
"Edge of Eternity",80,700000,5.8,"Missing"
"Edgeplay",110,80000,7.2,"Missing"
"Edges of the Lord",95,7500000,7,"R"
"Edmund",18,10000,8.7,"Missing"
"Edtv",122,60000000,6.2,"PG-13"
"Edward Scissorhands",105,20000000,7.7,"Missing"
"Eegah",90,15000,1.9,"Missing"
"Egyptian, The",139,5000000,5.7,"Missing"
"Ehad Mishelanu",110,500000,7.1,"Missing"
"Eight Legged Freaks",99,30000000,5.5,"PG-13"
"Eight Men Out",119,6000000,7.3,"Missing"
"Eighteenth Angel, The",95,25000000,4.6,"R"
"El Cid",182,6250000,7.1,"Missing"
"Election",103,8500000,7.4,"R"
"Elegante, El",17,2500,8.6,"Missing"
"Elektra",96,43000000,4.9,"PG-13"
"Elephant",81,3000000,7.3,"R"
"Elephant Man, The",124,5000000,8.2,"Missing"
"Elephant's Egg, The",15,30000,4.6,"Missing"
"Elevator Movie",95,25000,6.1,"Missing"
"Elf",95,33000000,7,"PG"
"Elizabeth",124,25000000,7.6,"R"
"Ella Enchanted",96,35000000,6.5,"PG"
"Elliot Flies",13,1000,4.9,"Missing"
"Elmer Gantry",146,3000000,7.8,"Missing"
"Elvira's Haunted Hills",90,1500000,5.2,"PG-13"
"Elvira, Mistress of the Dark",96,20000000,5.3,"Missing"
"Embalmer, The",85,50000,1.4,"Missing"
"Embrace of the Vampire",93,800000,4.2,"R"
"Emma",121,6000000,6.9,"PG"
"Emmett's Mark",104,4500000,6.2,"R"
"Emperor Jones, The",80,250000,6.1,"Missing"
"Emperor Waltz, The",110,4070248,6.1,"Missing"
"Emperor's Club, The",109,12500000,6.7,"PG-13"
"Emperor's New Groove, The",78,100000000,7.4,"Missing"
"Empire",90,3500000,6,"R"
"Empire of the Sun",154,38000000,7.5,"Missing"
"Employees' Entrance",75,188000,7.2,"Missing"
"Empty Building, The",40,170000,9.5,"Missing"
"En la puta vida",103,1500000,6.9,"Missing"
"End of Days",121,83000000,5.3,"R"
"End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",78,60000,7.6,"Missing"
"End of Violence, The",122,5000000,5.4,"R"
"End of the Affair, The",102,23000000,7,"R"
"Enemy at the Gates",131,70000000,7.3,"R"
"Enemy of the State",131,90000000,7.1,"R"
"Enemy, The",34,250000,8.2,"Missing"
"English Patient, The",160,27000000,7.1,"R"
"Enough",115,38000000,4.9,"PG-13"
"Enraged New World, An",50,3500,8.9,"Missing"
"Enter the Dragon",99,850000,7.4,"R"
"Entrapment",113,66000000,6.1,"PG-13"
"Envy",99,40000000,4.3,"PG-13"
"Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The",27,6000,9.5,"Missing"
"Epiphany: Il inferno",16,10000,8.8,"Missing"
"Equilibrium",107,20000000,7.6,"R"
"Era of Vampire, The",90,1000000,4.2,"R"
"Eraser",115,100000000,5.8,"R"
"Eraserhead",89,10000,7.1,"Missing"
"Erin Brockovich",130,51000000,7.3,"R"
"Ernest Goes to Camp",92,3000000,4.4,"Missing"
"Ernest Rides Again",96,7000000,3.6,"Missing"
"Ernest Saves Christmas",95,6000000,4.6,"Missing"
"Erotic Adventures of Zorro, The",102,75000,4.2,"Missing"
"Erotica",68,4000,1.6,"Missing"
"Err On the Side of Caution",94,500000,6,"Missing"
"Escanaba in da Moonlight",91,1000000,5.5,"PG-13"
"Escape from Chernobourg",75,2000,3.7,"Missing"
"Escape from L.A.",101,50000000,4.8,"R"
"Escape from New York",99,6000000,6.8,"Missing"
"Escape from the Planet of the Apes",98,2500000,5.8,"Missing"
"Eskimo",117,950000,7,"Missing"
"Espera, La",72,100000,8.8,"Missing"
"Espinazo del diablo, El",108,4500000,7.4,"R"
"Eternal Embrace",47,96000,9.6,"Missing"
"Eternal Sunshine of the Spotless Mind",108,20000000,8.6,"R"
"Eulogy",91,10000000,6.5,"R"
"EuroTrip",90,25000000,6.1,"R"
"Eve's Bayou",109,5000000,7.2,"R"
"Evelyn",94,10000000,7.1,"PG"
"Even Cowgirls Get the Blues",99,8000000,4,"Missing"
"EvenHand",92,500000,7.3,"R"
"Event Horizon",96,70000000,5.7,"R"
"Ever After",121,26000000,7,"PG"
"Ever in My Heart",68,243000,5.7,"Missing"
"Evergon",32,20000,7.1,"Missing"
"Everlasting Piece, An",103,14000000,6.1,"R"
"Every Little Girl's Dream",16,27000,7.3,"Missing"
"Everyone Says I Love You",101,20000000,6.9,"R"
"Everything Is Everything",87,10000,8.3,"Missing"
"Everything Put Together",87,500000,7.1,"R"
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",87,2000000,6.7,"Missing"
"Everything in This Country Must",20,250000,7.1,"Missing"
"Everything's Gone Green",19,30000,9,"Missing"
"Everything's Jake",92,900000,6.7,"Missing"
"Evil Alien Conquerors",89,500000,3.8,"PG-13"
"Evil Cult",90,15000,6.7,"Missing"
"Evil Dead II",85,3500000,7.6,"Missing"
"Evil Dead, The",86,350000,7.4,"NC-17"
"Evita",134,55000000,6.2,"PG"
"Evolution",101,80000000,5.8,"PG-13"
"Ex-Lady",67,93000,6.4,"Missing"
"Excessive Force",90,13000000,4.2,"Missing"
"Executive Decision",134,55000000,6.3,"Missing"
"Exit Wounds",101,33000000,5.3,"R"
"Exodus",208,4000000,6.8,"Missing"
"Exorcist II: The Heretic",118,14000000,3.5,"Missing"
"Exorcist, The",132,1000000,7.9,"Missing"
"Exorcist: The Beginning",114,30000000,5,"R"
"Expiration",102,50000,6.6,"Missing"
"Explosion",98,500000,4.9,"Missing"
"Exquisite Corpse",60,3500,8.9,"Missing"
"Extreme Measures",118,38000000,5.9,"R"
"Extreme Ops",94,40000000,4,"PG-13"
"Eye for an Eye",101,20000000,5.6,"R"
"Eye of the Beholder",109,15000000,4.5,"R"
"Eyes Wide Shut",159,65000000,7,"R"
"Eyes of Laura Mars",104,7000000,5.8,"Missing"
"F.I.S.T.",145,11000000,5.7,"Missing"
"Facade",93,6000000,4.8,"R"
"Face to Face",92,8000,6,"Missing"
"Face/Off",133,80000000,7.1,"R"
"Faces",130,275000,7.4,"Missing"
"Factotum",94,1000000,6.8,"Missing"
"Faculty, The",104,15000000,6.1,"R"
"Fahrenheit 9/11",122,6000000,7.9,"R"
"Fair Game",91,50000000,3.9,"R"
"Fair Wind to Java",92,1250000,5.8,"Missing"
"Fait d'hiver",6,80000,7.4,"Missing"
"Faithful",91,13000000,5.6,"R"
"Faithless",77,203420,6.6,"Missing"
"Fake ID",86,100000,3.6,"Missing"
"Fakers",85,1800000,5.6,"Missing"
"Fall",93,1000000,5.1,"Missing"
"Fall",97,2000000,1.5,"Missing"
"Fall of the Roman Empire, The",184,19000000,6.4,"Missing"
"Falling Words",19,8000,9.2,"Missing"
"Falls, The",85,75000,5.7,"R"
"Family Affair, A",69,190000,6.7,"Missing"
"Family Man, The",125,60000000,6.5,"PG-13"
"Family Plot",121,3000000,6.6,"Missing"
"Fan, The",114,55000000,5.4,"R"
"Fando y Lis",93,100000,6.6,"Missing"
"Fandom",96,5000,9.2,"Missing"
"Fantasia",80,2280000,7.8,"Missing"
"Fantasia/2000",75,80000000,7.4,"Missing"
"Fantasma dell'opera, Il",106,10000000,3.8,"R"
"Far and Away",140,30000000,6.2,"Missing"
"Far from Heaven",107,13500000,7.7,"PG-13"
"Far from India",101,10000,6.1,"Missing"
"Farewell to Arms, A",152,4353000,5.6,"Missing"
"Fargo",98,7000000,8.2,"R"
"Fascination",95,5000000,3.3,"R"
"Fascist of X-Mart, The",9,1000,5.1,"Missing"
"Fast Food High",92,4500000,5.4,"Missing"
"Fast Times at Ridgemont High",90,4500000,7.1,"Missing"
"Fast and the Furious, The",73,66000,4.6,"Missing"
"Fast and the Furious, The",106,38000000,5.7,"PG-13"
"Faster, Pussycat! Kill! Kill!",83,45000,6.5,"Missing"
"Fatal Attraction",123,14000000,6.7,"Missing"
"Father of the Bride Part II",106,30000000,5.6,"PG"
"Fathers' Day",98,85000000,4.7,"PG-13"
"Faust: Love of the Damned",101,6000000,4.1,"R"
"Fear No Evil",99,840000,3.9,"Missing"
"Fear X",91,6600000,5.9,"PG-13"
"Fear and Desire",68,20000,6.3,"Missing"
"Fear and Loathing in Las Vegas",118,18500000,7.2,"Missing"
"Fear of the Dark",150,30000,5.5,"Missing"
"FearDotCom",101,42000000,3.2,"R"
"Fearless Vampire Killers, The",108,2000000,7,"Missing"
"Federal Hill",97,80000,6.1,"Missing"
"Fedora",114,6727000,6.2,"Missing"
"Feet First",93,647000,7,"Missing"
"Fei ying",99,15000000,5.5,"Missing"
"Female",58,286000,6.5,"Missing"
"Female Trouble",97,25000,7.1,"NC-17"
"Femme Fatale",114,35000000,6.4,"R"
"Feng yun xiong ba tian xia",85,10000000,6.3,"PG-13"
"Festen",105,1300000,8.2,"R"
"Fever",95,6000000,5.7,"R"
"Fever Pitch",27,25000,5.8,"Missing"
"Fever Pitch",98,39690000,6.6,"PG-13"
"Few Good Men, A",138,33000000,7.5,"Missing"
"Fiddler on the Roof",181,9000000,7.6,"Missing"
"Field of Honor, A",15,1400,7.7,"Missing"
"Fifteen Minute Show, The",87,3500,8.9,"Missing"
"Fifth Element, The",126,90000000,7.1,"PG-13"
"Fight Club",139,63000000,8.5,"R"
"Fightin' Fools",9,23627,5.2,"Missing"
"Fighting Coast Guard",86,532111,6.6,"Missing"
"Fighting Mad",88,600000,5.5,"Missing"
"Film Geek",78,10000,9.3,"Missing"
"Film School Confidential",82,75000,6.4,"Missing"
"Final",111,80000,5.2,"R"
"Final Destination",98,23000000,6.6,"R"
"Final Destination 2",90,26000000,6.3,"R"
"Final Fantasy: The Spirits Within",106,137000000,6.5,"PG-13"
"Final Sale",14,20000,6.7,"Missing"
"Final Solution",110,1500000,7,"R"
"Finders Keepers, Lovers Weepers!",71,82000,4,"Missing"
"Finding Forrester",136,43000000,7.3,"PG-13"
"Finding Graceland",106,10000000,6.6,"PG-13"
"Finding Nemo",100,94000000,8.3,"Missing"
"Finding Neo",12,8500,6.8,"Missing"
"Fine and Dandy",6,1000,7.2,"Missing"
"Finian's Rainbow",141,3500000,5.9,"Missing"
"Fintar o Destino",77,850000,6.2,"Missing"
"Fire Brigade, The",90,249556,7.8,"Missing"
"Fire Dancer",79,1000000,8.2,"Missing"
"Fire Over Afghanistan",92,155000,4.5,"R"
"Firefox",136,21000000,5.5,"Missing"
"Firestarter",101,15000000,5.6,"Missing"
"Firestorm",89,19000000,4.4,"R"
"Firm, The",154,42000000,6.6,"R"
"First Blood",97,14000000,6.8,"Missing"
"First Great Train Robbery, The",110,6000000,6.9,"Missing"
"First Knight",134,75000000,5.6,"PG-13"
"First Love, Last Rites",94,300000,5,"R"
"First Power, The",98,10000000,4.8,"Missing"
"First Wives Club, The",103,26000000,5.6,"Missing"
"First of May, The",111,2500000,7.1,"Missing"
"Fish Burglars",25,15000,8.2,"Missing"
"Fish Called Wanda, A",108,7500000,7.7,"Missing"
"Fish in a Barrel",85,200000,5.5,"Missing"
"Fisher King, The",137,24000000,7.4,"Missing"
"Fishing for Trauster",24,20000,8.2,"Missing"
"Five Graves to Cairo",96,855000,7.6,"Missing"
"Five Guns West",74,60000,3.1,"Missing"
"Fiza",167,1000000,7.1,"Missing"
"Flame Barrier, The",70,100000,4.4,"Missing"
"Flame of Barbary Coast",91,600000,5.5,"Missing"
"Flash Gordon",111,35000000,5.7,"Missing"
"Flats, The",102,500000,7.2,"Missing"
"Flawless",112,27000000,6.1,"R"
"Flesh",105,4000,5.7,"Missing"
"Flesh & Blood",117,6500000,6.3,"Missing"
"Flesh Suitcase",90,1000000,5.2,"Missing"
"Flesh and the Devil",113,373000,7.5,"Missing"
"Flesheater",88,60000,4.5,"Missing"
"Flight of the Phoenix",113,45000000,6,"PG-13"
"Flintstones in Viva Rock Vegas, The",90,58000000,3.7,"PG"
"Flintstones, The",91,45000000,4.5,"Missing"
"Flip",15,8000,9.1,"Missing"
"Flirting with Disaster",92,7000000,7,"Missing"
"Flossin",81,86000,7.9,"PG-13"
"Fly, The",94,500000,6.8,"Missing"
"Fly, The",92,15000000,7,"Missing"
"Flying Down to Rio",89,462000,6.8,"Missing"
"Flying Dutchman, The",89,2000000,3.6,"Missing"
"Focus Group",29,8000,9.5,"Missing"
"Fog, The",89,1000000,6.5,"Missing"
"Follow Me Home",100,220000,7.6,"Missing"
"Follow Me Outside",94,1000000,4.6,"Missing"
"Follow the Fleet",110,747000,7.4,"Missing"
"Following",69,6000,7.6,"R"
"Fomlesen i kattepine",83,2400000,4.6,"Missing"
"Food of the Gods II",91,3500000,1.9,"Missing"
"Foolish Wives",384,1100000,7.6,"Missing"
"Fools for Scandal",80,1300000,5.6,"Missing"
"Footlight Parade",104,703000,7.6,"Missing"
"For Caroline",18,60000,6.7,"Missing"
"For Love of the Game",137,50000000,6.1,"PG-13"
"For Me and My Gal",104,802000,6.9,"Missing"
"For Whom the Bell Tolls",168,3000000,7.2,"Missing"
"For Your Eyes Only",127,28000000,6.7,"Missing"
"Forbidden Planet",98,1900000,7.7,"Missing"
"Forced March",104,2700000,4,"Missing"
"Foreign Affair, A",116,1500000,7.5,"Missing"
"Foreign Correspondents",102,500000,7.6,"PG-13"
"Foreigner, The",96,20000000,3.1,"R"
"Forever Amber",138,6000000,6.5,"Missing"
"Forever Lulu",99,20000000,5.5,"R"
"Forgotten, The",94,42000000,5.8,"PG-13"
"Forrest Gump",142,55000000,8.2,"PG-13"
"Forsaken, The",90,5000000,5.1,"R"
"Fort Apache",125,2500000,7.6,"Missing"
"Fortress",95,12000000,5.3,"Missing"
"Fortress 2",92,11000000,4.2,"R"
"Fortune Cookie, The",125,3705000,7.4,"Missing"
"Forty Shades of Blue",108,1500000,4.2,"Missing"
"Four Dead Batteries",96,77000,8.7,"Missing"
"Four Feathers, The",125,80000000,6.2,"PG-13"
"Four Horsemen of the Apocalypse, The",150,800000,7.6,"Missing"
"Four Rooms",98,4000000,6,"R"
"Four Weddings and a Funeral",117,6000000,7.2,"R"
"Four.50",6,5000,4.7,"Missing"
"Frailty",100,11000000,7.4,"R"
"Frame of Mind",20,30000,7,"Missing"
"Francine St. Claire's Mail",24,10000,6,"Missing"
"Francis",91,150000,6.2,"Missing"
"Frankenfish",84,3000000,4.6,"R"
"Frankenhooker",85,2500000,5,"Missing"
"Frankenstein",71,291000,7.9,"Missing"
