"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"10043","Chumscrubber, The",2005,102,6800000,4.5,80,4.5,14.5,4.5,0,4.5,0,4.5,14.5,14.5,44.5,"Missing",0,0,0,1,0,0,0
"10075","Ciao America",2002,100,5000000,4.8,27,14.5,4.5,0,4.5,14.5,4.5,0,4.5,14.5,44.5,"R",0,0,1,1,0,1,0
"10091","Cidade de Deus",2002,135,3300000,8.7,25964,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,0,1,0,0,0
"10092","Cider House Rules, The",1999,126,24000000,7.5,18950,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,1,0
"10114","Cimarron",1931,131,1433000,6.2,319,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"10125","Cinderella",1950,74,2900000,7.3,5596,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,1,0,0,0,0,0
"10131","Cinderella Story, A",2004,95,20000000,4.9,2755,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"PG",0,0,1,0,0,1,0
"10132","Cinderfella",1960,91,3000000,5.4,405,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"10135","Cinedictum",2002,40,100000,7,5,24.5,0,0,0,0,0,44.5,0,0,44.5,"Missing",0,0,1,0,0,1,1
"10162","Circle of Iron",1978,102,4000000,5.2,376,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"Missing",1,0,0,0,0,0,0
"10183","Circus World",1964,135,9000000,5.7,215,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"10188","Circus, The",1928,71,900000,7.8,1239,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",0,0,1,1,0,1,0
"10210","Citizen Kane",1941,119,686033,8.7,61083,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"Missing",0,0,0,1,0,0,0
"10212","Citizen Ruth",1996,102,3000000,6.8,1441,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"Missing",0,0,1,1,0,0,0
"10213","Citizen Shane",2004,59,4000,5,10,24.5,0,14.5,0,14.5,14.5,0,0,14.5,44.5,"Missing",0,0,0,0,1,0,0
"10216","Citizen Verdict",2003,97,10000000,4.8,58,14.5,0,4.5,24.5,14.5,4.5,4.5,4.5,14.5,14.5,"R",0,0,0,0,0,0,0
"10224","City Hall",1996,111,40000000,6.1,4381,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"10228","City Lights",1931,87,1500000,8.5,7802,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"Missing",0,0,1,1,0,1,0
"10241","City by the Sea",2002,108,60000000,6.3,4886,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"10244","City of Angels",1998,114,55000000,6.2,15333,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"10248","City of Ghosts",2002,116,17500000,5.6,877,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"10250","City of Hope",1991,129,3000000,7.3,645,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"10251","City of Industry",1997,97,8000000,5.9,1262,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"10259","City on Fire",1979,104,5300000,3.4,127,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"10269","Civil Action, A",1998,112,60000000,6.4,6847,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"10270","Civil Brand",2002,95,500000,4.1,102,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"10279","Claire of the Moon",1992,107,130000,4.1,208,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,"Missing",0,0,0,1,0,1,0
"10307","Clash of the Titans",1981,118,15000000,6.3,3860,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"Missing",1,0,0,0,0,1,0
"10317","Class of 1984",1982,98,4300000,5.5,662,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"Missing",1,0,0,1,0,0,0
"10318","Class of 1999",1990,99,5200000,4.5,549,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"10320","Class of 83",2004,50,25000,9.6,20,0,4.5,0,0,0,0,0,0,0,94.5,"Missing",0,0,0,0,1,0,0
"10336","Claudine's Return",1998,91,2000000,3.8,80,24.5,14.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,1,0
"10337","Claustrophobia",2003,79,114000,4.2,90,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,"R",0,0,1,0,0,0,0
"10346","Clay Pigeons",1998,104,8000000,6.4,2658,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,1,1,0,0,0
"10353","Clean, Shaven",1994,79,60000,6.8,370,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,"Missing",0,0,0,1,0,0,0
"10358","Clear and Present Danger",1994,141,65000000,6.8,13025,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"Missing",1,0,0,1,0,0,0
"10360","Clearing the Range",1931,61,60000,4.5,6,0,0,14.5,14.5,64.5,0,0,0,0,0,"Missing",0,0,0,0,0,0,0
"10367","Cleopatra",1917,125,500000,9.3,25,4.5,0,0,4.5,0,0,0,4.5,4.5,74.5,"Missing",0,0,0,1,0,0,0
"10369","Cleopatra",1963,320,44000000,6.6,2612,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"Missing",0,0,0,1,0,1,0
"10374","Clerks.",1994,92,230000,7.9,39927,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"R",0,0,1,1,0,0,0
"10380","Cliffhanger",1993,112,65000000,6,12434,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"10383","Clifford's Really Big Movie",2004,73,70000,5.9,70,14.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,44.5,"Missing",0,1,0,0,0,0,0
"10390","Climb, The",2002,98,2500000,5.2,83,4.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,4.5,24.5,"PG",1,0,0,1,0,0,0
"10407","Clock, The",1945,90,1324000,7.3,390,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,24.5,"Missing",0,0,0,1,0,1,0
"10408","Clockers",1995,129,25000000,6.8,3099,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"10409","Clockstoppers",2002,94,26000000,5.1,2555,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,0,0,0,0,0
"10414","Clockwork Orange, A",1971,137,2200000,8.3,65283,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,"Missing",0,0,0,1,0,0,0
"10418","Clonus Horror, The",1979,90,350000,2.1,469,45.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"10422","Close Encounters of the Third Kind",1977,137,20000000,7.7,26304,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"10448","Clown Princes",1939,11,21243,6.5,9,0,0,0,0,24.5,14.5,64.5,0,0,0,"Missing",0,0,1,0,0,0,1
"10450","Clown in Babylon, A",1999,105,150000,7.8,5,24.5,0,0,0,0,0,0,0,44.5,44.5,"Missing",0,0,0,1,0,0,0
"10456","Club Dread",2004,119,9000000,5.2,3432,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"10457","Club Fed",1990,93,360000,3.2,54,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,"Missing",0,0,1,0,0,0,0
"10474","Clubland",1999,94,4000000,4,58,24.5,4.5,4.5,4.5,14.5,24.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"10475","Clue",1985,97,15000000,6.7,8767,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"Missing",0,0,1,0,0,0,0
"10477","Clueless",1995,97,20000000,6.7,16521,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"10484","Coach Carter",2005,136,30000000,6.6,1636,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"PG-13",0,0,0,1,0,0,0
"10513","Cock-Eyed World, The",1929,118,661315,5.9,11,0,0,0,14.5,34.5,0,14.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"10517","Cockettes, The",2002,100,300000,6.6,177,4.5,0,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"R",0,0,0,0,1,0,0
"10531","Cocoanuts, The",1929,96,500000,6.8,834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"Missing",0,0,1,0,0,0,0
"10538","Code",2003,12,10000,6.2,5,0,0,0,0,44.5,24.5,24.5,24.5,0,0,"Missing",0,0,0,0,0,0,1
"10539","Code 46",2003,92,7500000,6.4,2094,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"10550","Codename: Simon",2004,10,50000,9.2,22,0,0,4.5,0,4.5,0,0,4.5,14.5,64.5,"Missing",0,0,0,0,0,0,1
"10568","Cog",2004,5,4000,9.6,9,0,0,0,0,0,0,0,24.5,0,74.5,"Missing",0,0,0,1,0,0,1
"10573","Coil",2001,79,12000,7.8,12,4.5,0,0,0,0,4.5,4.5,34.5,14.5,24.5,"Missing",0,0,0,1,0,0,0
"10584","Cold Call",2001,14,20000,7.7,17,24.5,0,0,0,0,4.5,24.5,14.5,24.5,14.5,"Missing",0,0,1,0,0,1,1
"10587","Cold Dog Soup",1990,100,7000000,4.6,136,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,"Missing",0,0,1,0,0,0,0
"10595","Cold Heart",2001,95,3000000,4.1,140,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"10596","Cold Hearts",1999,90,900000,3.9,131,14.5,4.5,4.5,14.5,4.5,4.5,14.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"10602","Cold Mountain",2003,152,83000000,7.4,15712,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"10625","Collateral",2004,120,65000000,7.7,24499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0
"10626","Collateral Damage",2002,108,85000000,5.2,8590,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"10637","College Coach",1933,76,245000,5.2,55,4.5,4.5,4.5,14.5,4.5,4.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"10662","Color Me Blood Red",1965,79,50000,3.4,130,14.5,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"10664","Color Purple, The",1985,154,15000000,7.6,10599,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"Missing",0,0,0,1,0,0,0
"10667","Color of Money, The",1986,119,10000000,6.8,9095,4.5,4.5,4.5,4.5,4.5,24.5,34.5,24.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"10668","Color of Night",1994,133,40000000,4.7,4646,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"10695","Coltelli del vendicatore, I",1966,86,75000,4.7,38,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"10713","Combat Shock",1986,92,40000,5.6,237,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"Missing",0,0,0,1,0,0,0
"10721","Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,109,850000,6.9,607,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"Missing",0,0,0,1,0,0,0
"10767","Comedians of Comedy, The",2005,103,500000,8.8,8,0,0,0,0,0,0,14.5,14.5,24.5,45.5,"Missing",0,0,1,0,1,0,0
"10803","Coming to America",1988,116,28000000,6.6,13103,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,1,0
"10805","Command Decision",1948,112,3700000,7.5,262,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"10808","Commandments",1997,88,5000000,5.4,468,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"10840","Committed",2000,98,3000000,5.2,739,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"10871","Company Jasmine",2001,55,150000,8.4,47,4.5,0,0,0,0,0,4.5,4.5,34.5,45.5,"Missing",0,0,0,0,1,0,0
"10873","Company Man",2000,86,16000000,4.8,492,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"10875","Company of Wolves, The",1984,95,2000000,6.4,1846,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,0,0,0,0
"10876","Company, The",2003,112,15000000,6.2,1505,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"10908","Comunidad, La",2000,110,2000000,7.2,1270,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"10909","Con Air",1997,115,75000000,6.3,26642,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"10914","Conan the Barbarian",1982,129,20000000,6.5,13624,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"Missing",1,0,0,0,0,0,0
"10930","Condemned",1929,86,600000,5.7,38,0,4.5,0,14.5,4.5,24.5,14.5,24.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"10953","Confession, The",1998,20,15000,6.9,18,0,14.5,4.5,4.5,4.5,14.5,0,14.5,0,44.5,"Missing",0,0,1,0,0,0,1
"10954","Confession, The",1999,114,4000000,5.8,519,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"10966","Confessions of a Dangerous Mind",2002,113,29000000,7.1,11487,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"10970","Confessions of a Nazi Spy",1939,104,1500000,6.6,126,0,0,4.5,4.5,4.5,24.5,34.5,24.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"10976","Confessions of a Teenage Drama Queen",2004,89,15000000,4.4,2205,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"10984","Confidence",2003,97,15000000,6.8,6168,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"10999","Conformista, Il",1970,115,750000,7.7,1348,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"Missing",0,0,0,1,0,0,0
"11005","Congo",1995,109,50000000,4.4,8058,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"11011","Connecting Dots",2003,95,500000,7.7,6,0,0,0,14.5,0,14.5,14.5,0,14.5,34.5,"Missing",0,0,1,1,0,0,0
"11013","Connection, The",1962,110,167000,7.3,34,0,0,0,4.5,0,14.5,14.5,24.5,24.5,14.5,"Missing",0,0,0,1,0,0,0
"11018","Conqueror, The",1956,111,6000000,3.3,364,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"11020","Conquest",1937,113,2732000,6.7,163,0,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"11026","Conquest of the Planet of the Apes",1972,88,1700000,5.5,2255,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"11047","Conspiracy Theory",1997,135,75000000,6.4,15470,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"11057","Constantine",2005,121,100000000,6.4,11633,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"Missing",1,0,0,1,0,0,0
"11063","Contact",1997,153,90000000,7.3,36390,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"11073","Contender, The",2000,126,9000000,6.9,7023,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"11091","Control de plagas",2004,14,5000,8.1,10,14.5,14.5,0,0,0,0,0,0,24.5,64.5,"Missing",0,0,1,0,0,0,1
"11096","Convention City",1933,69,239000,4.7,5,0,24.5,0,0,0,0,0,0,24.5,64.5,"Missing",0,0,1,0,0,0,0
"11105","Conversation, The",1974,113,1600000,8.1,10260,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",0,0,0,1,0,0,0
"11137","Cool Hot Rod, The",1953,26,1000,3.9,5,0,24.5,0,0,44.5,44.5,0,0,0,0,"Missing",0,0,0,1,0,0,1
"11146","Cool as Ice",1991,100,6000000,2.4,1280,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"Missing",0,0,1,1,0,1,0
"11158","Cop Land",1997,116,15000000,6.7,12677,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"11187","Copycat",1995,123,20000000,6.5,7804,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"11188","Coquette",1929,76,489106,4.9,90,4.5,4.5,14.5,14.5,14.5,4.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"11194","Coral Reef Adventure",2003,45,10000000,6.2,65,0,0,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"Missing",0,0,0,0,1,0,1
"11202","Core, The",2003,135,74000000,5.4,7860,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"11208","Corky Romano",2001,86,11000000,4.6,2463,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"11218","Corner of Your Eye",2003,96,100000,5.2,8,0,0,0,24.5,14.5,14.5,24.5,14.5,0,14.5,"Missing",0,0,1,0,0,1,0
"11229","Coronado",2003,88,4700000,4.5,411,4.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"11230","Coronel no tiene quien le escriba, El",1999,122,3000000,6.9,265,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"11248","Corpse Grinders, The",1972,62,47000,2.6,153,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"Missing",0,0,1,0,0,0,0
"11306","Cotton Club, The",1984,127,47000000,6.2,2663,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"11307","Cotton Comes to Harlem",1970,97,1200000,6.2,204,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,"Missing",1,0,1,0,0,0,0
"11308","Cotton Mary",1999,124,3500000,5.3,164,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"11316","Could This Be Love?",1973,29,5000,3.6,8,14.5,0,24.5,14.5,0,0,14.5,14.5,0,24.5,"Missing",0,0,0,0,0,0,1
"11328","Count of Monte Cristo, The",2002,134,35000000,7.4,13907,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"11342","Countess from Hong Kong, A",1967,120,3500000,5.4,449,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"11347","Country Bears, The",2002,88,35000000,3.7,664,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"11360","Country of My Skull",2004,104,12000000,5.1,194,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"11382","Courage Under Fire",1996,117,46000000,6.7,8884,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",1,0,0,1,0,0,0
"11422","Cover Up",1991,87,7500000,3.3,193,14.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"11425","Covered Wagon, The",1923,98,782000,7.9,49,0,4.5,0,0,4.5,4.5,24.5,14.5,34.5,14.5,"Missing",0,0,0,0,0,1,0
"11443","Cowboy and the Lady, The",1938,91,1500000,6.3,110,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,"Missing",0,0,1,1,0,1,0
"11447","Cowboys & Angels",2003,89,2000000,7.5,206,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"Missing",0,0,1,1,0,0,0
"11450","Cowboys, The",1972,128,6000000,6.9,1316,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,0,0,0,0
"11459","Coyote Ugly",2000,100,45000000,5.4,13221,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"11461","Crab Boy",1996,11,17000,2.1,5,44.5,0,0,0,0,0,64.5,0,0,0,"Missing",0,0,0,0,0,0,1
"11469","Crack in the World",1965,96,600000,5.8,244,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"11490","Cradle 2 the Grave",2003,101,25000000,5.3,4164,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"11491","Cradle Will Rock",1999,132,32000000,6.7,3375,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"11492","Craft, The",1996,101,15000000,5.9,9187,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"11494","Craig's Wife",1936,73,300000,7.8,54,0,0,0,4.5,4.5,4.5,34.5,34.5,14.5,4.5,"Missing",0,0,0,1,0,0,0
"11497","Crank Calls",2002,10,40000,6.8,22,4.5,0,0,0,4.5,24.5,4.5,4.5,24.5,24.5,"Missing",0,0,1,0,0,0,1
"11499","Crash",2004,113,6500000,8.3,1660,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,45.5,"R",0,0,0,1,0,0,0
"11516","Crawling Hand, The",1963,89,100000,2.6,248,34.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"11523","Crazies, The",1973,103,275000,5.7,669,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"Missing",1,0,0,1,0,0,0
"11536","Crazy Love",2004,7,2000,9.2,17,4.5,0,0,0,4.5,0,0,0,0,84.5,"Missing",0,0,1,0,0,0,1
"11550","Crazy in Alabama",1999,111,15000000,6.1,2086,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,"PG-13",0,0,1,1,0,0,0
"11552","Crazy-Quilt, The",1966,75,250000,4.2,16,0,0,4.5,4.5,14.5,0,0,4.5,14.5,45.5,"Missing",0,0,0,1,0,0,0
"11553","Crazy/Beautiful",2001,135,14000000,6.5,4503,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"11563","Creature",1985,97,4000000,3.8,293,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"11577","Creepees vs. Robot Monster Number Two, The",2004,15,0,1.2,5,44.5,0,0,0,0,24.5,0,0,24.5,24.5,"Missing",0,0,0,0,0,0,1
"11581","Creepozoids",1987,72,75000,2.6,152,24.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,0,4.5,"Missing",0,0,0,0,0,0,0
"11584","Creepshow",1982,120,8000000,6,3687,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"11585","Creepshow 2",1987,92,3500000,4.9,1524,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"11586","Creepy Tales: Girls Night Out",2003,115,30000,1.8,11,4.5,4.5,4.5,0,0,4.5,4.5,0,4.5,44.5,"Missing",0,0,0,0,0,0,0
"11588","Cremaster 2",1999,79,1700000,6.5,152,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"11595","Crew, The",2000,84,23000000,5.3,1297,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"11605","Crier, The",1995,78,250000,3.3,12,34.5,14.5,4.5,4.5,4.5,0,0,14.5,0,4.5,"R",0,0,0,0,0,0,0
"11614","Crime Partners 2000",2001,102,250000,4.4,57,14.5,14.5,4.5,0,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"11617","Crime Spree",2003,98,10000000,6.3,953,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"11639","Crimen del padre Amaro, El",2002,118,1800000,7,2469,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
